Tilelink,LinkURL,Desc,Price Num,Details,Address,NeighbCityState
"New
$160,000
3bd
1ba
1,816 sqft
4003 Nichols Rd",https://www.trulia.com/property/3262447002-4003-Nichols-Rd-Kalamazoo-MI-49004,New; New; New,"$160,000 ","3bd; 1ba; 1,816 sqft",4003 Nichols Rd,"Kalamazoo, MI"
"New
$695,000
3bd
4ba
3,250 sqft
1300 N Eagle Lake Dr",https://www.trulia.com/property/36961382-1300-N-Eagle-Lake-Dr-Kalamazoo-MI-49009,New; New; New,"$695,000 ","3bd; 4ba; 3,250 sqft",1300 N Eagle Lake Dr,"Kalamazoo, MI"
"Pending
$55,000
2bd
1ba
800 sqft
578 Blair St",https://www.trulia.com/property/3019916844-578-Blair-St-Kalamazoo-MI-49048,Pending; Pending; Pending,"$55,000 ",2bd; 1ba; 800 sqft,578 Blair St,"Kalamazoo, MI"
"Pending
$162,500
3bd
3ba
2,378 sqft
1101 Hillcrest Ave",https://www.trulia.com/property/3006439447-1101-Hillcrest-Ave-Kalamazoo-MI-49008,Pending; Pending; Pending,"$162,500 ","3bd; 3ba; 2,378 sqft",1101 Hillcrest Ave,"Westnedge Hill, Kalamazoo, MI"
"$199,900
4bd
3ba
2,064 sqft
8173 Heritage Dr",https://www.trulia.com/property/3023590101-8173-Heritage-Dr-Kalamazoo-MI-49009,,"$199,900 ","4bd; 3ba; 2,064 sqft",8173 Heritage Dr,"Kalamazoo, MI"
"Pending
$369,900
4bd
4ba
6,498 sqft
5352 Rocky Mountain St",https://www.trulia.com/property/3230962155-5352-Rocky-Mountain-St-Kalamazoo-MI-49009,Pending; Pending; Pending,"$369,900 ","4bd; 4ba; 6,498 sqft",5352 Rocky Mountain St,"Kalamazoo, MI"
"For Sale By Owner
$126,000
3bd
2ba
1,196 sqft
2214 Royce Ave",https://www.trulia.com/property/3220051906-2214-Royce-Ave-Kalamazoo-MI-49001,For Sale By Owner; For Sale By Owner; For Sale By Owner,"$126,000 ","3bd; 2ba; 1,196 sqft",2214 Royce Ave,"Millwood, Kalamazoo, MI"
"Pending
$65,000
3bd
1ba
1,392 sqft
1405 Richland Ave",https://www.trulia.com/property/31988090-1405-Richland-Ave-Kalamazoo-MI-49006,Pending; Pending,"$65,000 ","3bd; 1ba; 1,392 sqft",1405 Richland Ave,"Westwood (East), Kalamazoo, MI"
"$49,900
3bd
2ba
1,248 sqft
1815 Sunnyside Dr",https://www.trulia.com/property/3139902492-1815-Sunnyside-Dr-Kalamazoo-MI-49048,,"$49,900 ","3bd; 2ba; 1,248 sqft",1815 Sunnyside Dr,"Eastwood, Kalamazoo, MI"
"Pending
$25,000
1bd
1ba
624 sqft
715 Arthur Ave",https://www.trulia.com/property/34811620-715-Arthur-Ave-Kalamazoo-MI-49048,Pending; Pending,"$25,000 ",1bd; 1ba; 624 sqft,715 Arthur Ave,"Eastwood, Kalamazoo, MI"
"$79,900
3bd
2ba
1,394 sqft
739 Whites Rd",https://www.trulia.com/property/41742225-739-Whites-Rd-Kalamazoo-MI-49008,,"$79,900 ","3bd; 2ba; 1,394 sqft",739 Whites Rd,"Westnedge Hill, Kalamazoo, MI"
"$179,900
4bd
3ba
2,835 sqft
975 N 5th St",https://www.trulia.com/property/3261777331-975-N-5th-St-Kalamazoo-MI-49009,,"$179,900 ","4bd; 3ba; 2,835 sqft",975 N 5th St,"Kalamazoo, MI"
"Pending
$160,000
3bd
2ba
1,325 sqft
3704 Bronson Blvd",https://www.trulia.com/property/3261095646-3704-Bronson-Blvd-Kalamazoo-MI-49008,Pending; Pending,"$160,000 ","3bd; 2ba; 1,325 sqft",3704 Bronson Blvd,"South Westnedge, Kalamazoo, MI"
"$30,000
3bd
2ba
1,288 sqft
1404 E Stockbridge Ave",https://www.trulia.com/property/3207437289-1404-E-Stockbridge-Ave-Kalamazoo-MI-49001,,"$30,000 ","3bd; 2ba; 1,288 sqft",1404 E Stockbridge Ave,"Edison, Kalamazoo, MI"
"$28,900
3bd
2ba
1,219 sqft
627 Trimble Ave",https://www.trulia.com/property/3260067869-627-Trimble-Ave-Kalamazoo-MI-49048,,"$28,900 ","3bd; 2ba; 1,219 sqft",627 Trimble Ave,"Eastside, Kalamazoo, MI"
"Pending
$182,900
4bd
3ba
2,817 sqft
7035 E Main St",https://www.trulia.com/property/3261858760-7035-E-Main-St-Kalamazoo-MI-49048,Pending; Pending; Pending,"$182,900 ","4bd; 3ba; 2,817 sqft",7035 E Main St,"Kalamazoo, MI"
"$145,000
3bd
2ba
1,640 sqft
5245 Cobblefield Ln",https://www.trulia.com/property/3259352878-5245-Cobblefield-Ln-Kalamazoo-MI-49004,,"$145,000 ","3bd; 2ba; 1,640 sqft",5245 Cobblefield Ln,"Kalamazoo, MI"
"$65,000
2bd
1ba
854 sqft
539 Dayton Ave",https://www.trulia.com/property/1072121327-539-Dayton-Ave-Kalamazoo-MI-49048,,"$65,000 ",2bd; 1ba; 854 sqft,539 Dayton Ave,"Eastwood, Kalamazoo, MI"
"Pending
$59,900
2bd
2ba
1,424 sqft
1208 Baker Dr",https://www.trulia.com/property/3261413439-1208-Baker-Dr-Kalamazoo-MI-49048,Pending; Pending; Pending,"$59,900 ","2bd; 2ba; 1,424 sqft",1208 Baker Dr,"Eastwood, Kalamazoo, MI"
"Pending
$88,000
2bd
1ba
1,564 sqft
2231 Springmont Ave",https://www.trulia.com/property/1069538058-2231-Springmont-Ave-Kalamazoo-MI-49008,Pending; Pending; Pending,"$88,000 ","2bd; 1ba; 1,564 sqft",2231 Springmont Ave,"Oakwood, Kalamazoo, MI"
"Pending
$125,000
4bd
2ba
1,716 sqft
4340 S 29th St",https://www.trulia.com/property/3259708695-4340-S-29th-St-Kalamazoo-MI-49048,Pending; Pending; Pending,"$125,000 ","4bd; 2ba; 1,716 sqft",4340 S 29th St,"Kalamazoo, MI"
"For Sale By Owner
$72,000
3bd
1ba
900 sqft
445 N Berkley St",https://www.trulia.com/property/1042049999-445-N-Berkley-St-Kalamazoo-MI-49006,For Sale By Owner; For Sale By Owner; For Sale By Owner,"$72,000 ",3bd; 1ba; 900 sqft,445 N Berkley St,"Westwood (East), Kalamazoo, MI"
"$33,900
2bd
1ba
1,252 sqft
2217 Red Clover",https://www.trulia.com/property/3261813099-2217-Red-Clover-Kalamazoo-MI-49004,,"$33,900 ","2bd; 1ba; 1,252 sqft",2217 Red Clover,"Kalamazoo, MI"
"Pending
$66,000
4203 Konkle St",https://www.trulia.com/property/3224154307-4203-Konkle-St-Kalamazoo-MI-49001,Pending; Pending; Pending,"$66,000 ",,4203 Konkle St,"Millwood, Kalamazoo, MI"
"Pending
$249,900
5bd
3ba
3,238 sqft
8532 Hathaway Rd",https://www.trulia.com/property/1064045932-8532-Hathaway-Rd-Kalamazoo-MI-49009,Pending; Pending; Pending,"$249,900 ","5bd; 3ba; 3,238 sqft",8532 Hathaway Rd,"Kalamazoo, MI"
"$119,900
3bd
2ba
1,399 sqft
2405 Strathmore St #31",https://www.trulia.com/property/3260494630-2405-Strathmore-St-31-Kalamazoo-MI-49009,,"$119,900 ","3bd; 2ba; 1,399 sqft",2405 Strathmore St #31,"Kalamazoo, MI"
"$49,500
3bd
2ba
1,422 sqft
3223 Country View Rd",https://www.trulia.com/property/3121635166-3223-Country-View-Rd-Kalamazoo-MI-49004,,"$49,500 ","3bd; 2ba; 1,422 sqft",3223 Country View Rd,"Kalamazoo, MI"
"$53,000
2bd
1ba
956 sqft
3806 E D Ave",https://www.trulia.com/property/3239832307-3806-E-D-Ave-Kalamazoo-MI-49009,,"$53,000 ",2bd; 1ba; 956 sqft,3806 E D Ave,"Kalamazoo, MI"
"Pending
$225,000
3bd
3ba
3,383 sqft
5946 Fairway Cir",https://www.trulia.com/property/3261707887-5946-Fairway-Cir-Kalamazoo-MI-49009,Pending; Pending; Pending,"$225,000 ","3bd; 3ba; 3,383 sqft",5946 Fairway Cir,"Kalamazoo, MI"
"$70,000
4bd
1ba
1,455 sqft
1018 Oak St",https://www.trulia.com/property/42512119-1018-Oak-St-Kalamazoo-MI-49008,,"$70,000 ","4bd; 1ba; 1,455 sqft",1018 Oak St,"Vine, Kalamazoo, MI"
"Pending
$139,900
3bd
2ba
1,540 sqft
2117 Lakewood Dr",https://www.trulia.com/property/3260005286-2117-Lakewood-Dr-Kalamazoo-MI-49048,Pending; Pending; Pending,"$139,900 ","3bd; 2ba; 1,540 sqft",2117 Lakewood Dr,"Eastwood, Kalamazoo, MI"
"Pending
$94,500
4bd
2ba
1,900 sqft
415 N Riverview Dr",https://www.trulia.com/property/3259452-415-N-Riverview-Dr-Kalamazoo-MI-49004,Pending; Pending; Pending,"$94,500 ","4bd; 2ba; 1,900 sqft",415 N Riverview Dr,"Kalamazoo, MI"
"Pending
$45,000
2bd
1ba
1,026 sqft
907 Cooper Ave",https://www.trulia.com/property/3072942986-907-Cooper-Ave-Kalamazoo-MI-49048,Pending; Pending; Pending,"$45,000 ","2bd; 1ba; 1,026 sqft",907 Cooper Ave,"Eastwood, Kalamazoo, MI"
"$16,000
4bd
2ba
1,227 sqft
808 Simpson St",https://www.trulia.com/property/1054057117-808-Simpson-St-Kalamazoo-MI-49007,,"$16,000 ","4bd; 2ba; 1,227 sqft",808 Simpson St,"Northside, Kalamazoo, MI"
"$65,000
2bd
1ba
1,592 sqft
5439 Mount Olivet Rd",https://www.trulia.com/property/3261819536-5439-Mount-Olivet-Rd-Kalamazoo-MI-49004,,"$65,000 ","2bd; 1ba; 1,592 sqft",5439 Mount Olivet Rd,"Kalamazoo, MI"
"Pending
$45,000
2bd
1ba
950 sqft
609 Dayton Ave",https://www.trulia.com/property/1067653003-609-Dayton-Ave-Kalamazoo-MI-49048,Pending; Pending; Pending,"$45,000 ",2bd; 1ba; 950 sqft,609 Dayton Ave,"Eastwood, Kalamazoo, MI"
"$84,900
2bd
1ba
810 sqft
3215 Barnard Ave",https://www.trulia.com/property/3261318653-3215-Barnard-Ave-Kalamazoo-MI-49008,,"$84,900 ",2bd; 1ba; 810 sqft,3215 Barnard Ave,"Oakland-Winchell, Kalamazoo, MI"
"$474,900
5bd
6ba
6,430 sqft
2555 W D Ave",https://www.trulia.com/property/3054732603-2555-W-D-Ave-Kalamazoo-MI-49009,,"$474,900 ","5bd; 6ba; 6,430 sqft",2555 W D Ave,"Kalamazoo, MI"
"$33,900
2bd
1ba
1,252 sqft
2217 Red Cherry Ln",https://www.trulia.com/property/3261813310-2217-Red-Cherry-Ln-Kalamazoo-MI-49004,,"$33,900 ","2bd; 1ba; 1,252 sqft",2217 Red Cherry Ln,"Kalamazoo, MI"
"Pending
$134,900
3bd
3ba
1,508 sqft
2089 S 9th St",https://www.trulia.com/property/3259770271-2089-S-9th-St-Kalamazoo-MI-49009,Pending; Pending,"$134,900 ","3bd; 3ba; 1,508 sqft",2089 S 9th St,"Kalamazoo, MI"
"$256,900
4bd
3ba
3,322 sqft
8170 Talaria Ter",https://www.trulia.com/property/3261351088-8170-Talaria-Ter-Kalamazoo-MI-49009,,"$256,900 ","4bd; 3ba; 3,322 sqft",8170 Talaria Ter,"Kalamazoo, MI"
"Pending
$63,900
2bd
1ba
890 sqft
1612 E Alcott St",https://www.trulia.com/property/3261164713-1612-E-Alcott-St-Kalamazoo-MI-49001,Pending; Pending,"$63,900 ",2bd; 1ba; 890 sqft,1612 E Alcott St,"Edison, Kalamazoo, MI"
"$299,900
4bd
3ba
3,741 sqft
7571 Orchard Hill Ave",https://www.trulia.com/property/3147724481-7571-Orchard-Hill-Ave-Kalamazoo-MI-49009,,"$299,900 ","4bd; 3ba; 3,741 sqft",7571 Orchard Hill Ave,"Kalamazoo, MI"
"$64,888
5201 Willowbend Trl",https://www.trulia.com/property/3230984028-5201-Willowbend-Trl-Kalamazoo-MI-49009,,"$64,888 ",,5201 Willowbend Trl,"Kalamazoo, MI"
"$194,900
4000 Block S 7th St",https://www.trulia.com/property/3260723156-4000-Block-S-7th-St-Kalamazoo-MI-49009,,"$194,900 ",,4000 Block S 7th St,"Kalamazoo, MI"
"Pending
$99,900
2bd
2ba
1,016 sqft
2454 Quail Run Dr",https://www.trulia.com/property/3261780257-2454-Quail-Run-Dr-Kalamazoo-MI-49009,Pending; Pending; Pending,"$99,900 ","2bd; 2ba; 1,016 sqft",2454 Quail Run Dr,"Kalamazoo, MI"
"Pending
$109,900
3bd
1ba
1,161 sqft
1722 Marywood St",https://www.trulia.com/property/3258995649-1722-Marywood-St-Kalamazoo-MI-49006,Pending; Pending; Pending,"$109,900 ","3bd; 1ba; 1,161 sqft",1722 Marywood St,"Westwood (East), Kalamazoo, MI"
"$85,000
718 W Cedar St",https://www.trulia.com/property/1061436732-718-W-Cedar-St-Kalamazoo-MI-49007,,"$85,000 ",,718 W Cedar St,"Vine, Kalamazoo, MI"
"Pending
$150,000
4bd
3ba
2,300 sqft
717 Beth Ave",https://www.trulia.com/property/3260405479-717-Beth-Ave-Kalamazoo-MI-49004,Pending; Pending; Pending,"$150,000 ","4bd; 3ba; 2,300 sqft",717 Beth Ave,"Kalamazoo, MI"
