Address,City,State,ZIP,Desc,Detail,Price Num,Num Photos Text,Num Photos,Photo URL,Pg Number
1939 Portage St,Kalamazoo,MI,49001,Lot/Land For Sale,"$6,5004,791 sqft lot; $400 (Feb 23)·1939 Portage St, Kalamazoo, MI; Chuck Jaqua, REALTOR, Inc.",65004791; 400,1 photo,1,https://photos.zillowstatic.com/p_e/ISaleyj3a45dz11000000000.jpg,5
1115 E Alcott St,Kalamazoo,MI,49001,Foreclosed,"Foreclosure Est. $45K · 3 bds · 2 ba · 1,332 sqft; 102 days on Zillow·1115 E Alcott St, Kalamazoo, MI",45,10 photos,10,https://photos.zillowstatic.com/p_e/ISma6ito7iqocx1000000000.jpg,5
Trimble Ave,Kalamazoo,MI,49048,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 67 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.297000,-85.558000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",5
826 Lane Blvd,Kalamazoo,MI,49001,Foreclosed,"Foreclosure Est. $43K · -- bds · -- ba · -- sqft; 102 days on Zillow·826 Lane Blvd, Kalamazoo, MI",43,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.272000,-85.570000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",5
W Ransom St,Kalamazoo,MI,49007,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 221 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.297000,-85.592000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",5
Terrace Ct,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $50K · -- bds · -- ba · -- sqft; 382 days on Zillow·Sign in for details,50,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.275000,-85.574000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",5
4372 Winding Way,Kalamazoo,MI,49004,Lot/Land For Sale,"$18,9000.53 ac lot; 138 days on Zillow·4372 Winding Way, Kalamazoo, MI; O'Brien Real Estate",189000.53,3 photos,3,https://photos.zillowstatic.com/p_e/IS23zfy70xsy5j0000000000.jpg,5
1315 Princeton Ave,Kalamazoo,MI,49007,For Sale by Owner,"$2,5006,098 sqft lot; $400 (Feb 19)·1315 Princeton Ave, Kalamazoo, MI",25006098; 400,2 photos,2,https://photos.zillowstatic.com/p_e/ISmuhgfsy918gp0000000000.jpg,5
Parker Ave,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $64K · -- bds · -- ba · -- sqft; 368 days on Zillow·Sign in for details,64,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.254000,-85.585000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",5
Fairbanks Ave,Kalamazoo,MI,49048,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 60 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.300000,-85.561000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",5
E Alcott St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 116 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.271000,-85.566000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",5
